# call_id> primární klíč
# finish_time> čas ukončení hovoru
# length> délka hovoru
# time_block> časový blok po 15 minutách
# workstation_address> ID pracovní stanice (počítače)
# target_time_block_id>
# source_time_block_id
# target_service_cdn>
# source_service_cdn>
# source_service_id>
# target_service_id>
# operator> telefonní operátor (O2, T-mobile...)
# wup_question_id> z ope_wup_logs
# wup_answer_id z ope_wup_logs

"call_id","finish_time","length","time_block","workstation_address","target_time_block_id","source_time_block_id","target_service_cdn","source_service_cdn","source_service_id","target_service_id","operator","wup_question_id","wup_answer_id"
"00001047091406621843","2014-07-29 10:17:24","293","2014-07-29 10:15:00","33602","NULL","NULL","12300","12400","9","3","-2","NULL","NULL"
"00001050061411395506","2014-09-22 16:18:27","46","2014-09-22 16:15:00","33602","NULL","NULL","12300","12400","9","3","-2","NULL","NULL"
"00001027901411540065","2014-09-24 08:27:46","120","2014-09-24 08:15:00","33602","NULL","NULL","12300","12400","9","3","-2","NULL","NULL"
"00001133831403101892","2014-06-18 16:31:33","24","2014-06-18 16:30:00","33605","NULL","NULL","12300","12401","4","3","-2","NULL","NULL"
"00001148311403189623","2014-06-19 16:53:45","24","2014-06-19 16:45:00","33605","NULL","NULL","12300","12401","4","3","-2","NULL","NULL"
"00001067391412455684","2014-10-04 22:48:05","40","2014-10-04 22:45:00","33209","NULL","NULL","12100","12401","4","1","-2","NULL","NULL"
"","2014-05-05 18:12:00","72","2014-05-05 18:00:00","34201","NULL","NULL","12100","12601","10","1","-2","NULL","NULL"
"","2014-05-08 19:42:00","9","2014-05-08 19:30:00","34218","NULL","NULL","12100","12602","10","1","-2","NULL","NULL"
"","2014-05-14 22:43:00","100","2014-05-14 22:30:00","33108","NULL","NULL","12300","12603","10","3","-2","NULL","NULL"
"","2014-04-19 18:40:00","29","2014-04-19 18:30:00","33808","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-05-09 09:23:00","30","2014-05-09 09:15:00","33602","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001051851407247702","2014-08-05 16:08:23","26","2014-08-05 16:00:00","34205","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001097611403098872","2014-06-18 15:41:13","23","2014-06-18 15:30:00","33806","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-14 14:39:00","60","2014-01-14 14:30:00","33501","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-03-29 18:41:00","48","2014-03-29 18:30:00","33303","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-02-14 16:01:00","49","2014-02-14 16:00:00","33506","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-26 17:58:00","52","2013-11-26 17:45:00","33506","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001153041407144309","2014-08-04 11:25:10","22","2014-08-04 11:15:00","33609","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-03-18 09:41:00","122","2014-03-18 09:30:00","33707","NULL","NULL","12999","12801","7","6","-2","NULL","NULL"
"00001013341402331537","2014-06-09 18:32:18","90","2014-06-09 18:30:00","33304","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-05-29 17:22:00","25","2014-05-29 17:15:00","33803","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-12 13:46:00","58","2013-12-12 13:45:00","33504","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001030991409918060","2014-09-05 13:54:21","38","2014-09-05 13:45:00","33608","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-02-22 12:53:00","107","2014-02-22 12:45:00","33607","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-06 13:46:00","85","2014-01-06 13:45:00","33706","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-24 09:28:00","34","2014-01-24 09:15:00","33805","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-22 07:40:00","91","2014-01-22 07:30:00","33104","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-05-10 11:09:00","69","2014-05-10 11:00:00","33708","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-20 13:49:00","128","2013-11-20 13:45:00","33210","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001041061412314787","2014-10-03 07:39:48","29","2014-10-03 07:30:00","33605","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-23 14:54:00","154","2013-12-23 14:45:00","33302","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-06-03 09:51:00","51","2014-06-03 09:45:00","34504","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-05-06 21:34:00","142","2014-05-06 21:30:00","33407","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-10 14:17:00","28","2014-01-10 14:15:00","33604","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001028971402166613","2014-06-07 20:43:34","65","2014-06-07 20:30:00","33509","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-04-20 11:34:00","25","2014-04-20 11:30:00","34210","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001073601406280942","2014-07-25 11:35:43","35","2014-07-25 11:30:00","33503","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-11-19 11:44:00","97","2013-11-19 11:30:00","34703","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001098651406635787","2014-07-29 14:09:48","60","2014-07-29 14:00:00","33211","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-27 23:26:00","115","2014-01-27 23:15:00","34604","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001045011409309774","2014-08-29 12:56:15","27","2014-08-29 12:45:00","33804","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001145521403176880","2014-06-19 13:21:21","80","2014-06-19 13:15:00","33404","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-24 22:53:00","30","2013-11-24 22:45:00","34603","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-02 11:57:00","31","2013-12-02 11:45:00","33508","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001112441403757482","2014-06-26 06:38:03","58","2014-06-26 06:30:00","33609","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-10 10:34:00","182","2014-01-10 10:30:00","33202","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001123491403360140","2014-06-21 16:15:41","45","2014-06-21 16:15:00","33806","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-12-21 19:15:00","48","2013-12-21 19:15:00","33210","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-03 18:42:00","16","2014-01-03 18:30:00","33109","NULL","NULL","12999","12801","7","6","-2","NULL","NULL"
"00001087041406970492","2014-08-02 11:08:13","90","2014-08-02 11:00:00","33804","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001052401409843236","2014-09-04 17:07:17","17","2014-09-04 17:00:00","34216","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-11-26 14:19:00","19","2013-11-26 14:15:00","34702","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001081851411733561","2014-09-26 14:12:43","24","2014-09-26 14:00:00","34218","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001148981409445407","2014-08-31 02:36:48","127","2014-08-31 02:30:00","33108","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001020951408026130","2014-08-14 16:22:11","68","2014-08-14 16:15:00","33804","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-12-14 12:28:00","56","2013-12-14 12:15:00","33406","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001030221405413763","2014-07-15 10:42:44","19","2014-07-15 10:30:00","33806","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001118571407076216","2014-08-03 16:30:18","66","2014-08-03 16:30:00","33508","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001111241409725686","2014-09-03 08:28:07","160","2014-09-03 08:15:00","33707","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-06-04 16:21:00","31","2014-06-04 16:15:00","33805","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001085861408648834","2014-08-21 21:20:35","49","2014-08-21 21:15:00","33308","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-10-08 11:40:00","63","2013-10-08 11:30:00","34706","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001060131408983734","2014-08-25 18:22:15","16","2014-08-25 18:15:00","33304","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001062191405690020","2014-07-18 15:27:01","17","2014-07-18 15:15:00","34205","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-05-28 13:47:00","19","2014-05-28 13:45:00","33611","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001069241403202064","2014-06-19 20:21:05","25","2014-06-19 20:15:00","33306","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001065611412357838","2014-10-03 19:37:19","20","2014-10-03 19:30:00","33609","NULL","NULL","12999","12801","7","6","-2","NULL","NULL"
"","2013-11-18 08:40:00","62","2013-11-18 08:30:00","33102","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-04-22 17:34:00","131","2014-04-22 17:30:00","33803","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-01 11:21:00","56","2014-01-01 11:15:00","33310","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001143921403849595","2014-06-27 08:13:16","48","2014-06-27 08:00:00","33803","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-12-19 17:37:00","31","2013-12-19 17:30:00","33806","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001113941409223821","2014-08-28 13:03:42","57","2014-08-28 13:00:00","33808","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-23 18:08:00","49","2013-11-23 18:00:00","33709","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-23 18:08:00","49","2013-11-23 18:00:00","33709","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-10-03 18:28:00","22","2013-10-03 18:15:00","33704","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-19 22:17:00","89","2013-12-19 22:15:00","34701","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001126351411661067","2014-09-25 18:04:28","85","2014-09-25 18:00:00","33609","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-02-11 10:10:00","298","2014-02-11 10:00:00","33505","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001153551409032496","2014-08-26 07:54:57","19","2014-08-26 07:45:00","34210","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001132361408685975","2014-08-22 07:39:36","72","2014-08-22 07:30:00","33209","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001019221411742355","2014-09-26 16:39:16","20","2014-09-26 16:30:00","33405","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-01-09 08:10:00","57","2014-01-09 08:00:00","33302","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-02-10 14:47:00","23","2014-02-10 14:45:00","34705","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-05-10 15:32:00","15","2014-05-10 15:30:00","33703","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-03-26 08:46:00","26","2014-03-26 08:45:00","33404","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-11-10 16:55:00","30","2013-11-10 16:45:00","33306","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-04-10 08:19:00","88","2014-04-10 08:15:00","33806","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-10-09 17:47:00","25","2013-10-09 17:45:00","33709","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-04-29 00:27:00","60","2014-04-29 00:15:00","33203","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-12-02 11:58:00","26","2013-12-02 11:45:00","33607","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-01 12:42:00","16","2013-12-01 12:30:00","33102","NULL","NULL","12999","12801","7","6","-2","NULL","NULL"
"","2014-06-04 17:03:00","45","2014-06-04 17:00:00","33806","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-12-16 16:34:00","347","2013-12-16 16:30:00","33306","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001149651403886167","2014-06-27 18:22:48","57","2014-06-27 18:15:00","34217","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-05-07 17:46:00","77","2014-05-07 17:45:00","33804","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-03-04 16:33:00","47","2014-03-04 16:30:00","33605","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-23 17:15:00","52","2013-11-23 17:15:00","33102","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-12-09 20:04:00","2","2013-12-09 20:00:00","33707","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-03-17 12:45:00","289","2014-03-17 12:45:00","33710","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-10-03 18:08:00","128","2013-10-03 18:00:00","33803","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-03-22 22:03:00","92","2014-03-22 22:00:00","33101","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"00001102901410363544","2014-09-10 17:39:05","20","2014-09-10 17:30:00","33705","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-03-27 13:11:00","88","2014-03-27 13:00:00","33406","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-12-16 14:13:00","18","2013-12-16 14:00:00","33701","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-04-21 18:04:00","24","2014-04-21 18:00:00","33808","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001112921407524999","2014-08-08 21:10:00","78","2014-08-08 21:00:00","33305","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-28 14:09:00","24","2014-01-28 14:00:00","34707","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-06-04 15:16:00","240","2014-06-04 15:15:00","33304","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-04-25 17:51:00","66","2014-04-25 17:45:00","33604","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-13 16:32:00","141","2013-11-13 16:30:00","33101","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-03-25 16:06:00","108","2014-03-25 16:00:00","33308","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-05-29 14:02:00","22","2014-05-29 14:00:00","33708","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
